id	image	correct	tags
chem-chij-katong-2018-q1	https://i.imgur.com/8MF1RkY.png	B	atomic-structure
chem-chij-katong-2018-q2	https://i.imgur.com/yOKXbUO.png	C	kinetic-particle-theory
chem-chij-katong-2018-q3	https://i.imgur.com/pzoZTTQ.png	C	separation
chem-chij-katong-2018-q4	https://i.imgur.com/3G1l8UK.png	A	separation
chem-chij-katong-2018-q5	https://i.imgur.com/Ga8NOtK.png	C	atomic-structure
chem-chij-katong-2018-q6	https://i.imgur.com/534nxQs.png	D	atomic-structure
chem-chij-katong-2018-q7	https://i.imgur.com/QcRYgJY.png	B	elements-compounds-mixtures
chem-chij-katong-2018-q8	https://i.imgur.com/F3hDx7B.png	C	bonding
chem-chij-katong-2018-q9	https://i.imgur.com/2I55xdb.png	B	bonding
chem-chij-katong-2018-q10	https://i.imgur.com/k8S1pT0.png	B	bonding
chem-chij-katong-2018-q11	https://i.imgur.com/GZh1s68.png	B	org-chem
chem-chij-katong-2018-q12	https://i.imgur.com/8tSJphA.png	C	bonding
chem-chij-katong-2018-q13	https://i.imgur.com/d6SXztY.png	A	periodic-table
chem-chij-katong-2018-q14	https://i.imgur.com/c7g2hsk.png	D	periodic-table
chem-chij-katong-2018-q15	https://i.imgur.com/Wndn0dm.png	B	qualitative-analysis
chem-chij-katong-2018-q16	https://i.imgur.com/TLHquXt.png	B	qualitative-analysis, metals
chem-chij-katong-2018-q17	https://i.imgur.com/rORmx40.png	B	qualitative-analysis
chem-chij-katong-2018-q18	https://i.imgur.com/wCJfq6O.png	C	acids-bases-salts
chem-chij-katong-2018-q19	https://i.imgur.com/snOxD4b.png	A	metals
chem-chij-katong-2018-q21	https://i.imgur.com/tcW4YgK.png	C	qualitative-analysis
chem-chij-katong-2018-q22	https://i.imgur.com/Xl0yPnl.png	A	acids-bases-salts
chem-chij-katong-2018-q23	https://i.imgur.com/sPlWYBe.png	B	calculation
chem-chij-katong-2018-q24	https://i.imgur.com/1AeajuF.png	C	calculation
chem-chij-katong-2018-q25	https://i.imgur.com/80eGilS.png	B	calculation
chem-chij-katong-2018-q26	https://i.imgur.com/lfAawkf.png	A	calculation
chem-chij-katong-2018-q27	https://i.imgur.com/vTRL9ra.png	B	metals
chem-chij-katong-2018-q28	https://i.imgur.com/oS8L6RT.png	C	bonding